Variable / Field Name,Form Name,Form Display Name,Section Header (defunct),Allow,multipleChoice,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,version
psychosis_title,psychosis,Psychosis,,,,descriptive,## Pyschosis,,,,,,,,,,,,,,
cpsy0,psychosis,Psychosis,Hallucinations,,,descriptive,"### Hallucinations\r\n\r\nEarlier you told me about some experiences that you have had (list child's behaviors). Now I am going to ask you a little about those. \r\n\r\n _INTERVIEWER: To be rated positively, a hallucination should have been present throughout the day for several days or intermittently throughout a one-week period._",,,,,,,,,,,,,,
dcpsy001,psychosis,Psychosis,Auditory: Non Verbal Sounds,autoAdvance,,radio,### Auditory: Non Verbal Sounds\r\n\r\nDid you ever hear sounds or noises that other people couldn't hear?,"0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy2,psychosis,Psychosis,,,,text,"How long did this last (Estimate duration and dates)? \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy001] = '1',,,,,,,
dcpsy006,psychosis,Psychosis,Commenting Voices,autoAdvance,,radio,"### Commenting Voices\r\n\r\nHave you ever heard a voice saying what you were doing, feeling or thinking, and nobody else could hear it?","0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cspy4,psychosis,Psychosis,,,,text,"How long did this last (Estimate duration and dates)? \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy006] = '1',,,,,,,
dcpsy011,psychosis,Psychosis,Conversing Voices,autoAdvance,,radio,### Conversing Voices\r\n\r\nHave you ever heard two or more voices talking to each other that nobody else could hear? What were the voices saying?,"0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy6,psychosis,Psychosis,,,,text,"How long did it last (Estimate duration and dates)?  \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy011] = '1',,,,,,,
dcpsy016,psychosis,Psychosis,Command Hallucinations,autoAdvance,,radio,### Command Hallucinations\r\n\r\nHave you ever heard voices telling you to do something and nobody else could hear it?,"0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy8,psychosis,Psychosis,,,,text,"How long did it last (Estimate duration and dates)?  \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy016] = '1',,,,,,,
dcpsy021,psychosis,Psychosis,Persecutory Hallucinations,autoAdvance,,radio,### Persecutory Hallucinations\r\n\r\nHave you ever heard voices making fun of you? Threatening you? Saying bad things about you?,"0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy10,psychosis,Psychosis,,,,text,"How long did it last (Estimate duration and dates)?   \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy021] = '1',,,,,,,
dcpsy026,psychosis,Psychosis,Thought Broadcasting,autoAdvance,,radio,"### Thought Broadcasting\r\n\r\nHave you ever heard your thoughts spoken out loud, from outside your head so that you or others could hear what you were thinking?","0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy12,psychosis,Psychosis,,,,text,"How long did it last (Estimate duration and dates)?   \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy026] = '1',,,,,,,
dcpsy031,psychosis,Psychosis,Other Verbal Hallucinations,autoAdvance,,radio,### Other Verbal Hallucinations\r\n\r\nHave you ever heard any other voices other people could not hear?,"0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy14,psychosis,Psychosis,,,,text,"How long did it last (Estimate duration and dates)?   \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy031] = '1',,,,,,,
dcpsy036,psychosis,Psychosis,,,,notes,Please describe (Other verbal hallucinations):,,,,,,,[dcpsy031] = '1',,LH,,,,,
dcpsy037,psychosis,Psychosis,Visual,autoAdvance,,radio,### Visual\r\n\r\nHave you ever seen visions or seen things which other people could not see?  Did it come from a shadow? How clearly did you see these things? Were you awake or asleep?,"0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy16,psychosis,Psychosis,,,,text,"How long did it last (Estimate duration and dates)?    \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy037] = '1',,,,,,,
dcpsy042,psychosis,Psychosis,Olfactory,autoAdvance,,radio,### Olfactory\r\n\r\nHave you ever smelled strange odors other people could not smell?,"0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy18,psychosis,Psychosis,,,,text,"How long did it last (Estimate duration and dates)?   \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy042] = '1',,,,,,,
dcpsy047,psychosis,Psychosis,Tactile,autoAdvance,,radio,### Tactile\r\n\r\nHave you ever had strange feelings in your body like things were crawling on you or someone touching you and nothing or no one was there?,"0, No | 1, Yes | 9, Unknown",,,,,,,,LH,,,,,
cpsy20,psychosis,Psychosis,,,,text,"How long did it last (Estimate duration and dates)?  \r\n\r\n _(N mins, N hours, N days, N weeks)_",,,,,,,[dcpsy047] = '1',,,,,,,
